subjID	version	block	trial_index	time_elapsed	trial_type	internal_node_id	stim	key_press	rt	outcome	valued	devalued	cor_dir	isdevalued	chose	score
debugshnTF	1.0	3.SOA_0	208	665989	html-keyboard-response	0.0-208.0	grape	39	32	pineapple					Right	0
debugshnTF	1.0	3.SOA_0	209	666565	html-keyboard-response	0.0-209.0	coconut	37	574	pear					Left	1
debugshnTF	1.0	3.SOA_0	210	667173	html-keyboard-response	0.0-210.0	apple	39	605	lemon					Right	-1
debugshnTF	1.0	3.SOA_0	211	667813	html-keyboard-response	0.0-211.0	cherries	37	639	orange					Left	0
debugshnTF	1.0	3.SOA_0	212	668816	html-keyboard-response	0.0-212.0	cherries			orange					None	0
debugshnTF	1.0	3.SOA_0	213	669061	html-keyboard-response	0.0-213.0	bananas	39	242	melon					Right	-1
debugshnTF	1.0	3.SOA_0	214	670063	html-keyboard-response	0.0-214.0	grape			pineapple					None	0
debugshnTF	1.0	3.SOA_0	215	670165	html-keyboard-response	0.0-215.0	coconut	37	99	pear					Left	1
debugshnTF	1.0	3.SOA_0	216	670772	html-keyboard-response	0.0-216.0	bananas	39	605	melon					Right	-1
debugshnTF	1.0	3.SOA_0	217	671332	html-keyboard-response	0.0-217.0	kiwi	37	558	strawberry					Left	0
debugshnTF	1.0	3.SOA_1	220	678260	html-keyboard-response	0.0-220.0	kiwi	39	424	strawberry					Right	1
debugshnTF	1.0	3.SOA_1	221	678804	html-keyboard-response	0.0-221.0	kiwi	37	540	strawberry					Left	0
debugshnTF	1.0	3.SOA_1	222	679333	html-keyboard-response	0.0-222.0	apple	37	527	lemon					Left	0
debugshnTF	1.0	3.SOA_1	223	679892	html-keyboard-response	0.0-223.0	apple	39	556	lemon					Right	1
debugshnTF	1.0	3.SOA_1	224	680868	html-keyboard-response	0.0-224.0	bananas	37	973	melon					Left	-1
debugshnTF	1.0	3.SOA_1	225	681871	html-keyboard-response	0.0-225.0	bananas			melon					None	0
debugshnTF	1.0	3.SOA_1	226	682212	html-keyboard-response	0.0-226.0	grape	39	337	pineapple					Right	0
debugshnTF	1.0	3.SOA_1	227	682948	html-keyboard-response	0.0-227.0	cherries	37	734	orange					Left	0
debugshnTF	1.0	3.SOA_1	228	683812	html-keyboard-response	0.0-228.0	cherries	39	860	orange					Right	1
debugshnTF	1.0	3.SOA_1	229	684816	html-keyboard-response	0.0-229.0	grape			pineapple					None	0
debugshnTF	1.0	3.SOA_1	230	685140	html-keyboard-response	0.0-230.0	coconut	37	321	pear					Left	-1
debugshnTF	1.0	3.SOA_1	231	686143	html-keyboard-response	0.0-231.0	coconut			pear					None	0
debugshnTF	1.0	3.SOA_2	234	691893	html-keyboard-response	0.0-234.0	kiwi	39	452	strawberry					Right	-1
debugshnTF	1.0	3.SOA_2	235	692484	html-keyboard-response	0.0-235.0	coconut	37	588	pear					Left	1
debugshnTF	1.0	3.SOA_2	236	693487	html-keyboard-response	0.0-236.0	coconut			pear					None	0
debugshnTF	1.0	3.SOA_2	237	693879	html-keyboard-response	0.0-237.0	grape	39	389	pineapple					Right	-1
debugshnTF	1.0	3.SOA_2	238	694596	html-keyboard-response	0.0-238.0	cherries	37	714	orange					Left	0
